OBJECTID,ctyua19cd,ctyua19nm,ctyua19nmw,bng_e,bng_n,long,lat,Shape__Area,Shape__Length,GlobalID
164,S12000006,Dumfries and Galloway, ,270645,579856,-4.02863,55.09621,6445067231.4009,689568.881058481,1625c4e0-44f1-46d9-88d7-4630a51f4b53
165,S12000008,East Ayrshire, ,255398,624935,-4.29057,55.496738,1272832615.86668,276686.020027799,91f1886e-b2e1-4e3c-b9e7-96585be22f9f
166,S12000010,East Lothian, ,354854,672351,-2.72435,55.94207,678543757.356903,149493.883282039,3d82e9a3-6a2b-4fb4-bf8e-307e1bb2c8c7
167,S12000011,East Renfrewshire, ,251929,653115,-4.3606,55.74868,175683611.934464,75237.1219538965,5a6d1055-9711-43ae-aeca-892c7fcdab5e
168,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65722,58.199379,3032017857.1636,1645313.8500979,f3734e55-eca4-4b11-bf7e-28fd314a827a
169,S12000014,Falkirk, ,289661,679536,-3.7706,55.99604,296706694.664413,117083.001035293,75dabf29-c24f-4423-ba2e-21ec03965dcd
170,S12000017,Highland, ,241018,858292,-4.66103,57.586571,26291797787.2423,2890481.7538741,1bc09815-e0cd-45cc-ba81-5e2d49cfba5e
171,S12000018,Inverclyde, ,227922,670894,-4.75387,55.900299,162448990.871017,61139.273128552,567aa311-374f-46c4-8ea5-dc372ab299c8
172,S12000019,Midlothian, ,330088,659217,-3.11738,55.82111,354813985.93425,110233.8412277,c9166933-edda-40c7-a3ec-d9bfc44f07c7
173,S12000020,Moray, ,328024,843593,-3.20187,57.47683,2243947309.85425,356102.199807525,d17289f3-530b-440c-9709-c397a6c85b78
174,S12000021,North Ayrshire, ,228996,651640,-4.7246,55.72789,881524981.311317,255382.28055355,28389399-2bef-4044-8cfc-9311ac209726
175,S12000023,Orkney Islands, ,348293,1006584,-2.90025,58.94334,1007307595.37869,771549.450005117,b302eabc-d191-4db5-9358-d338f90a1a64
176,S12000026,Scottish Borders, ,345891,626135,-2.85866,55.52594,4744516442.4313,430160.735812936,01d82560-c0f6-4cdf-9722-7fcf414859cb
177,S12000027,Shetland Islands, ,434516,1180307,-1.37344,60.504951,1450896786.59366,1192520.7309918,6c442d62-df27-4d67-b31f-86bb026455de
178,S12000028,South Ayrshire, ,226545,596271,-4.72899,55.23008,1224445262.45297,252777.689114427,7c1667b8-852e-4f5b-9444-3086503bfab0
179,S12000029,South Lanarkshire, ,284634,636071,-3.83272,55.60453,1771731535.88519,247208.200571143,54b962ff-1f5c-4400-9a66-cfd9d0a4c62b
180,S12000030,Stirling, ,255980,708769,-4.32595,56.249531,2261949444.64474,290565.862807737,d85a9590-9ca1-4162-8533-5fae4987978a
181,S12000033,Aberdeen City, ,387763,808479,-2.20398,57.166969,185416317.160675,88078.5110698806,5e1c021a-d847-4518-891e-e385cb67f7ac
